domain,system,question_no,question_id,prompt_type,thinking_level,n_trials,input_tokens_mean,output_tokens_mean,reasoning_tokens_mean,total_tokens_mean,cost_usd_mean,latency_s_mean
cyber_loghub,Android,1,q1_classcast,context,high,3,2267.0,436.3333,1051.3333,3754.6667,0.0224,14.2563
cyber_loghub,Android,1,q1_classcast,context,low,3,2267.0,267.0,783.0,3317.0,0.0171,11.56
cyber_loghub,Android,1,q1_classcast,full,high,3,128969.0,217.3333,930.0,130116.3333,0.2717,15.8293
cyber_loghub,Android,1,q1_classcast,full,low,3,128969.0,227.3333,960.3333,130156.6667,0.1985,17.2733
cyber_loghub,Android,1,q1_classcast,garbage,high,3,129168.0,299.0,1098.6667,130565.6667,0.2014,16.8363
cyber_loghub,Android,1,q1_classcast,garbage,low,3,129168.0,220.3333,1020.6667,130409.0,0.1995,13.4023
cyber_loghub,Android,2,q2_simpin,context,high,3,1737.0,625.0,1536.6667,3898.6667,0.0294,19.1307
cyber_loghub,Android,2,q2_simpin,context,low,3,1737.0,484.6667,781.3333,3003.0,0.0187,11.7527
cyber_loghub,Android,2,q2_simpin,full,high,3,128933.0,454.6667,964.3333,130352.0,0.1275,18.3663
cyber_loghub,Android,2,q2_simpin,full,low,3,128933.0,335.0,479.6667,129747.6667,0.1939,14.3143
cyber_loghub,Android,2,q2_simpin,garbage,high,3,129132.0,671.0,2185.3333,131988.3333,0.2925,33.0143
cyber_loghub,Android,2,q2_simpin,garbage,low,3,129132.0,379.6667,753.0,130264.6667,0.1981,16.2497
cyber_loghub,Android,3,q3_powermanager,context,high,3,2234.0,131.0,695.0,3060.0,0.0144,8.6693
cyber_loghub,Android,3,q3_powermanager,context,low,3,2234.0,130.0,563.0,2927.0,0.0128,7.256
cyber_loghub,Android,3,q3_powermanager,full,high,3,128936.0,315.3333,3482.6667,132734.0,0.156,39.295
cyber_loghub,Android,3,q3_powermanager,full,low,3,128936.0,216.3333,1700.6667,130853.0,0.2072,21.97
cyber_loghub,Android,3,q3_powermanager,garbage,high,3,129135.0,350.3333,3425.3333,132910.6667,0.3036,36.2807
cyber_loghub,Android,3,q3_powermanager,garbage,low,3,129135.0,233.0,1758.3333,131126.3333,0.2085,24.2393
cyber_loghub,Hadoop,1,q1_leaserenewer,context,high,3,2362.0,622.3333,1067.3333,4051.6667,0.025,15.6673
cyber_loghub,Hadoop,1,q1_leaserenewer,context,low,3,2362.0,457.6667,690.6667,3510.3333,0.0185,11.152
cyber_loghub,Hadoop,1,q1_leaserenewer,full,high,3,184403.0,760.3333,2952.0,188115.3333,0.3052,41.1423
cyber_loghub,Hadoop,1,q1_leaserenewer,full,low,3,184403.0,442.3333,1534.6667,186380.0,0.2844,23.0063
cyber_loghub,Hadoop,1,q1_leaserenewer,garbage,high,3,184695.0,579.0,2861.6667,188135.6667,0.3026,36.2857
cyber_loghub,Hadoop,1,q1_leaserenewer,garbage,low,3,184695.0,430.3333,866.0,185991.3333,0.1687,15.282
cyber_loghub,Hadoop,2,q2_taskattempt,context,high,3,1809.0,374.0,2154.0,4337.0,0.034,20.7253
cyber_loghub,Hadoop,2,q2_taskattempt,context,low,3,1809.0,247.3333,1153.0,3209.3333,0.0204,11.579
cyber_loghub,Hadoop,2,q2_taskattempt,full,high,3,184386.0,317.3333,7678.6667,192382.0,0.3566,70.91
cyber_loghub,Hadoop,2,q2_taskattempt,full,low,3,184386.0,402.3333,2255.3333,187043.6667,0.2925,30.1433
cyber_loghub,Hadoop,2,q2_taskattempt,garbage,high,3,184678.0,303.0,7013.6667,191994.6667,0.4572,66.5207
cyber_loghub,Hadoop,2,q2_taskattempt,garbage,low,3,184678.0,252.3333,2191.3333,187121.6667,0.1825,25.3993
cyber_loghub,Hadoop,3,q3_container,context,high,3,1652.0,428.6667,930.3333,3011.0,0.0196,12.3463
cyber_loghub,Hadoop,3,q3_container,context,low,3,1652.0,113.0,458.6667,2223.6667,0.0102,6.007
cyber_loghub,Hadoop,3,q3_container,full,high,3,184354.0,286.0,488.3333,185128.3333,0.2699,14.0343
cyber_loghub,Hadoop,3,q3_container,full,low,3,184354.0,334.6667,515.0,185203.6667,0.1627,13.5637
cyber_loghub,Hadoop,3,q3_container,garbage,high,3,184646.0,340.3333,1051.3333,186037.6667,0.3565,22.502
cyber_loghub,Hadoop,3,q3_container,garbage,low,3,184646.0,220.0,642.6667,185508.6667,0.2715,14.8527
cyber_loghub,Windows,1,q1_sqm,context,high,3,1055.0,400.6667,1142.3333,2598.0,0.0206,13.6187
cyber_loghub,Windows,1,q1_sqm,context,low,3,1055.0,245.3333,465.3333,1765.6667,0.0106,8.024
cyber_loghub,Windows,1,q1_sqm,full,high,3,121800.0,232.0,449.6667,122481.6667,0.183,12.554
cyber_loghub,Windows,1,q1_sqm,full,low,3,121800.0,193.3333,410.3333,122403.6667,0.1821,10.9427
cyber_loghub,Windows,1,q1_sqm,garbage,high,3,122033.0,281.3333,564.0,122878.3333,0.2542,15.4243
cyber_loghub,Windows,1,q1_sqm,garbage,low,3,122033.0,237.6667,483.6667,122754.3333,0.2527,12.9387
cyber_loghub,Windows,2,q2_wcp,context,high,3,1009.0,112.0,725.6667,1846.6667,0.0121,7.351
